listing,price,serial,condition,weight,stock
Powers Electric A-Type Select Flame Maple Desert Dawn w/PF42 Pickups,"$4,659.00",,NEW,,Pre-Order
Gretsch Electromatic CVT Double-Cut Vintage White w/Wraparound Tailpiece,$419.99,,NEW,,In Stock!
Squier Classic Vibe '60s Jazzmaster Tahitian Coral,$449.99,,NEW,,Pre-Order
Jackson Limited Edition Pure Metal Pro Plus Pure Metal King V KV1A Gloss Black,"$1,469.99",,NEW,,Pre-Order
Jackson Limited Edition Pro Plus Pure Metal Warrior WR1A Gloss Black,"$1,469.99",,NEW,,Pre-Order
EVH Limited Edition Streamliner SA-126 Special Satin Shell Pink,"$1,999.99",,NEW,,Pre-Order
Squier Classic Vibe '70s Stratocaster HT HSS Mocha,$449.99,,NEW,,Pre-Order
Ibanez GB10SE Brown Sunburst 2022,$995.00,Serial #PW22040643,USED,Weight: 6lbs 7oz,In Stock!
PRS Custom 22 Metallic Red 2003,"$2,195.00",Serial #78087,USED,Weight: 8lbs 7oz,In Stock!
Gibson Les Paul Standard '60s Plaintop Cardinal Red 2022,"$1,895.00",Serial #227530273,USED,Weight: 9lbs 2oz,In Stock!
Nash S-63 Black,"$1,795.00",Serial #TSG-161,USED,Weight: 7lbs 15oz,In Stock!
Gibson Les Paul Jimmy Page Signature Sunburst 1996,"$5,495.00",Serial #92706327,USED,Weight: 9lbs 9oz,In Stock!
Kramer Pacer Classic Scarlet Red,$220.00,Serial #22081320628,USED,Weight: 7lbs 14oz,In Stock!
Schecter Keith Merrow Signature KM-7 Mk III Black Burst 2018,"$1,095.00",Serial #IW18120902,USED,Weight: 6lbs 12oz,In Stock!
Fender Esquire Blonde 1953,"$59,995.00",Serial #4124,VINTAGE,Weight: 7lbs 3oz,In Stock!
Gretsch 7681 Atkins Super Axe Ebony Stain 1979,"$2,195.00",Serial #6-9123,VINTAGE,Weight: 10lbs 4oz,In Stock!
PRS SE Zach Myers Myers Blue,$595.00,Serial #CTID11414,USED,Weight: 6lbs 4oz,In Stock!
Dunable DE R2V2 Silverburst,"$1,299.00",,NEW,,In Stock!
Gibson Original Les Paul Standard '50s Dirty Lemon Burst,"$2,799.00",Serial #205350154,NEW,Weight: 9lbs 10oz,In Stock!
Gibson Original Les Paul Standard '50s Dirty Lemon Burst,"$2,799.00",Serial #205950154,NEW,Weight: 9lbs 7oz,In Stock!
Duesenberg Starplayer TV Galaxy Purple Burst,"$3,896.00",Serial #252749,NEW,Weight: 7lbs 12oz,In Stock!
"Fender Custom Shop 1952 Telecaster HS ""Chicago Special"" NOS Super Aged Daphne Blue","$4,500.00",Serial #R143114,NEW,Weight: 7lbs 7oz,In Stock!
"Gibson Custom Shop 1961 ES-335 ""CME Spec"" LEFTY Heather Poly VOS","$7,199.00",Serial #150100,NEW,Weight: 7lbs 14oz,In Stock!
Gibson Original Les Paul Standard '60s Plain Top Ebony Top,"$2,799.00",Serial #213250057,NEW,Weight: 10lbs 2oz,In Stock!
Fender Custom Shop 1951 Nocaster Deluxe Closet Classic Aged Nocaster Blonde,"$4,625.00",Serial #R140762,NEW,Weight: 7lbs 5oz,In Stock!
"Gibson Custom Shop 1964 SG Standard ""CME Spec"" Aniline Dye VOS w/Maestro Vibrola","$5,199.00",Serial #500534,NEW,Weight: 7lbs 9oz,In Stock!
Suhr Custom Modern T Desert Gradient w/CME-Selected Waterfall Burl Maple Top,"$5,399.00",Serial #83728,NEW,Weight: 7lbs 5oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Green Lemon VOS w/60 V2 Neck","$6,999.00",Serial #951346,NEW,Weight: 8lbs 6oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Green Lemon VOS w/59 Carmelita Neck","$6,999.00",Serial #951341,NEW,Weight: 8lbs 9oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Chambered Slow Iced Tea Fade VOS w/Lightweight Back","$7,999.00",Serial #95358,NEW,Weight: 6lbs 13oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Cherry Tea Burst VOS w/60 V2 Neck","$6,999.00",Serial #951337,NEW,Weight: 9lbs,In Stock!
Gibson Custom Shop 1958 Les Paul Standard Beauty of the Burst 153 Murphy Lab Heavy Aged w/Double Black Custombuckers,"$8,499.00",Serial #85587,NEW,Weight: 8lbs 8oz,In Stock!
Gibson Custom Shop 1960 Les Paul Standard Beauty of the Burst 151 Murphy Lab Light Aged w/Double Classic White Custombuckers,"$8,799.00",Serial #05276,NEW,Weight: 8lbs 12oz,In Stock!
Gibson Custom Shop 1959 ES-355 Diamond Antique Pelham Blue VOS w/Diamond F-Holes,"$8,699.00",Serial #A950114,NEW,Weight: 8lbs 9oz,In Stock!
Fender American Professional II Stratocaster Olympic White 2023 LEFTY,"$1,195.00",Serial #US22174095,USED,Weight: 7lbs 15oz,In Stock!
Powers Electric A-Type Select Quilt Twilight Blue Hardtail w/FF42 Pickups,"$4,499.00",Serial #A887,NEW,Weight: 5lbs 12oz,In Stock!
Gibson Les Paul Custom Black 1973,"$8,695.00",Serial #109787,VINTAGE,Weight: 10lbs,In Stock!
Gibson Flying V Black 1980,"$9,995.00",Serial #82590012,USED,Weight: 6lbs 13oz,In Stock!
"Rickenbacker 360/12 ""Color of the Year"" Montezuma Brown 2004","$3,095.00",Serial #0401920,USED,Weight: 7lbs 10oz,In Stock!
Gibson ES-335 Black 1975,"$7,495.00",Serial #173548,VINTAGE,Weight: 7lbs 13oz,In Stock!
Gibson Trini Lopez Burgundy Metallic 1966,"$7,995.00",Serial #846840,VINTAGE,Weight: 7lbs 15oz,In Stock!
PRS Private Stock Super Eagle II Hemp Green 2017,"$22,995.00",Serial #17-240033,USED,Weight: 7lbs 12oz,In Stock!
LTD EC-400 Transparent Cherry,$395.00,Serial #W0416831,USED,Weight: 8lbs 1oz,In Stock!
Gibson Les Paul Standard '60s Bourbon Burst 2020,"$1,995.00",Serial #235200219,USED,Weight: 9lbs 11oz,In Stock!
Kiesel Lyra Sunburst 2024,"$1,595.00",Serial #167476,USED,Weight: 8lbs 15oz,In Stock!
Fender Custom Shop 70th Anniversary '54 Stratocaster Relic Sunburst 2024,"$3,395.00",Serial #2550,USED,Weight: 7lbs 12oz,In Stock!
EVH Wolfgang Special Burgundy Mist 2021,$795.00,Serial #WG212513M,USED,Weight: 7lbs 10oz,In Stock!
Fender Eric Johnson Stratocaster Sunburst 2023,"$1,695.00",Serial #EJ23596,USED,Weight: 7lbs 14oz,In Stock!
"Fender Custom Shop 1959 Custom Telecaster ""Chicago Special"" NOS Fluorescent Yellow","$4,275.00",Serial #R144447,NEW,Weight: 7lbs 6oz,In Stock!
Suhr Custom Modern Suhr Burst w/CME-Selected Flame Maple Top,"$4,599.00",Serial #83732,NEW,Weight: 7lbs 1oz,In Stock!
"Gibson Custom '58 Les Paul Standard ""CME Spec"" w/59 Carmelita Neck Slow Iced Tea Fade 2020","$4,495.00",Serial #CME01168,USED,Weight: 9lbs 7oz,In Stock!
Gibson Custom '59 Les Paul Standard Sunburst 2013,"$5,295.00",Serial #931933,USED,Weight: 9lbs 1oz,In Stock!
Epiphone USA Casino Royal Tan 2024,"$2,595.00",Serial #211440340,USED,Weight: 6lbs 5oz,In Stock!
Gibson Custom Shop Murphy Lab '61 ES-335 Reissue Heavy Aged Sixties Cherry 2024,"$6,595.00",Serial #140604,USED,Weight: 7lbs 14oz,In Stock!
Gibson Custom Painted Over Series '60 Les Paul Standard Reissue Ebony Over Frosted Blue 2016,"$5,195.00",Serial #G060085,USED,Weight: 8lbs 9oz,In Stock!
Gibson Custom Painted Over Series '60 Les Paul Standard Reissue Ebony Over Kerry Green 2016,"$5,195.00",Serial #G060079,USED,Weight: 8lbs 14oz,In Stock!
Gibson Custom Painted Over Series '58 Les Paul Standard Reissue Ebony Over Cherry Sunburst 2017,"$5,195.00",Serial #87754,USED,Weight: 8lbs 4oz,In Stock!
Gibson Custom Painted Over Series '58 Les Paul Standard Reissue Gold Over Cherry Sunburst 2017,"$5,195.00",Serial #87772,USED,Weight: 8lbs 14oz,In Stock!
