listing,Brand,price,serial,condition,,weight,stock,,,,,Brand
Gretsch Streamliner G2655 Center Block Jr. Double-Cut Village Amber w/V-Stoptail,Other,$529.99 ,#N/A,NEW,,,In Stock!,,,,,#N/A
Gretsch Streamliner G2622T Center Block Double-Cut Village Amber w/Bigsby,Other,$629.99 ,#N/A,NEW,,,Pre-Order,,,,,#N/A
Gretsch Streamliner G2655T Center Block Jr. Double-Cut Gunmetal w/Bigsby,Other,$629.99 ,#N/A,NEW,,,In Stock!,,,,,#N/A
Powers Electric A-Type Select Quilt Maple Blue Lagoon w/FF42 Pickups,Other,"$4,659.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Gretsch Streamliner G2655T Center Block Jr. Double-Cut Cadillac Green w/Bigsby,Other,$629.99 ,#N/A,NEW,,,In Stock!,,,,,#N/A
Powers Electric A-Type Select Flame Maple Custom Shark Grey w/FF42 Pickups,Other,"$5,199.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Powers Electric A-Type Select Flame Maple Solana Sunset w/PF42 Pickups,Other,"$4,659.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Gretsch Electromatic CVT Double-Cut Wychwood w/Wraparound Tailpiece,Other,$419.99 ,#N/A,NEW,,,Pre-Order,,,,,#N/A
Powers Electric A-Type Select Flame Maple Desert Dawn w/PF42 Pickups,Other,"$4,659.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Gretsch Electromatic CVT Double-Cut Vintage White w/Wraparound Tailpiece,Other,$419.99 ,#N/A,NEW,,,In Stock!,,,,,#N/A
Squier Classic Vibe '60s Jazzmaster Tahitian Coral,Squier,$449.99 ,#N/A,NEW,,,Pre-Order,,,,,Squier
Jackson Limited Edition Pure Metal Pro Plus Pure Metal King V KV1A Gloss Black,Other,"$1,469.99 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Jackson Limited Edition Pro Plus Pure Metal Warrior WR1A Gloss Black,Other,"$1,469.99 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
EVH Limited Edition Streamliner SA-126 Special Satin Shell Pink,Other,"$1,999.99 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Squier Classic Vibe '70s Stratocaster HT HSS Mocha,Squier,$449.99 ,#N/A,NEW,,,Pre-Order,,,,,Squier
Ibanez GB10SE Brown Sunburst 2022,Ibanez,$995.00 ,#PW22040643,USED,,Weight: 6lbs 7oz,In Stock!,,,,,Ibanez
PRS Custom 22 Metallic Red 2003,Other,"$2,195.00 ",#78087,USED,,Weight: 8lbs 7oz,In Stock!,,,,,#N/A
Gibson Les Paul Standard '60s Plaintop Cardinal Red 2022,Gibson,"$1,895.00 ",#227530273,USED,,Weight: 9lbs 2oz,In Stock!,,,,,Gibson
Nash S-63 Black,Other,"$1,795.00 ",#TSG-161,USED,,Weight: 7lbs 15oz,In Stock!,,,,,#N/A
Gibson Les Paul Jimmy Page Signature Sunburst 1996,Gibson,"$5,495.00 ",#92706327,USED,,Weight: 9lbs 9oz,In Stock!,,,,,Gibson
Kramer Pacer Classic Scarlet Red,Other,$220.00 ,#22081320628,USED,,Weight: 7lbs 14oz,In Stock!,,,,,#N/A
Schecter Keith Merrow Signature KM-7 Mk III Black Burst 2018,Other,"$1,095.00 ",#IW18120902,USED,,Weight: 6lbs 12oz,In Stock!,,,,,#N/A
Fender Esquire Blonde 1953,Fender,"$59,995.00 ",#4124,VINTAGE,,Weight: 7lbs 3oz,In Stock!,,,,,Fender
Gretsch 7681 Atkins Super Axe Ebony Stain 1979,Other,"$2,195.00 ",#6-9123,VINTAGE,,Weight: 10lbs 4oz,In Stock!,,,,,#N/A
PRS SE Zach Myers Myers Blue,Other,$595.00 ,#CTID11414,USED,,Weight: 6lbs 4oz,In Stock!,,,,,#N/A
Dunable DE R2V2 Silverburst,Other,"$1,299.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Gibson Original Les Paul Standard '50s Dirty Lemon Burst,Gibson,"$2,799.00 ",#205350154,NEW,,Weight: 9lbs 10oz,In Stock!,,,,,Gibson
Gibson Original Les Paul Standard '50s Dirty Lemon Burst,Gibson,"$2,799.00 ",#205950154,NEW,,Weight: 9lbs 7oz,In Stock!,,,,,Gibson
Duesenberg Starplayer TV Galaxy Purple Burst,Other,"$3,896.00 ",#252749,NEW,,Weight: 7lbs 12oz,In Stock!,,,,,#N/A
"Fender Custom Shop 1952 Telecaster HS ""Chicago Special"" NOS Super Aged Daphne Blue",Fender,"$4,500.00 ",#R143114,NEW,,Weight: 7lbs 7oz,In Stock!,,,,,Fender
"Gibson Custom Shop 1961 ES-335 ""CME Spec"" LEFTY Heather Poly VOS",Gibson,"$7,199.00 ",#150100,NEW,,Weight: 7lbs 14oz,In Stock!,,,,,Gibson
Gibson Original Les Paul Standard '60s Plain Top Ebony Top,Gibson,"$2,799.00 ",#213250057,NEW,,Weight: 10lbs 2oz,In Stock!,,,,,Gibson
Fender Custom Shop 1951 Nocaster Deluxe Closet Classic Aged Nocaster Blonde,Fender,"$4,625.00 ",#R140762,NEW,,Weight: 7lbs 5oz,In Stock!,,,,,Fender
"Gibson Custom Shop 1964 SG Standard ""CME Spec"" Aniline Dye VOS w/Maestro Vibrola",Gibson,"$5,199.00 ",#500534,NEW,,Weight: 7lbs 9oz,In Stock!,,,,,Gibson
Suhr Custom Modern T Desert Gradient w/CME-Selected Waterfall Burl Maple Top,Other,"$5,399.00 ",#83728,NEW,,Weight: 7lbs 5oz,In Stock!,,,,,#N/A
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Green Lemon VOS w/60 V2 Neck",Gibson,"$6,999.00 ",#951346,NEW,,Weight: 8lbs 6oz,In Stock!,,,,,Gibson
